"Subject_ID","Trait_4","Trait_5","Trait_6","Trait_7","Trait_8","Trait_9","Trait_10","Trait_11","Trait_12","Trait_13","Trait_14","Trait_15","Trait_16","Trait_17","Trait_18","Trait_19","Trait_20","Trait_21","Trait_22","Trait_23","Trait_24","Trait_27","Trait_28","Trait_29","Trait_30","Trait_31","Trait_33","Trait_34","Trait_35","Trait_36","Trait_37","Trait_40","Trait_44","Trait_45","Trait_46","Trait_47","Trait_50","Trait_53","Trait_54","Trait_55","Trait_56","Trait_73","Trait_79","Trait_80","Trait_81","Trait_82","Trait_83","Trait_84","Trait_85","Trait_86","Trait_88","Trait_89","Trait_90","Trait_91","Trait_92","Trait_93","Trait_94","Trait_95","Trait_96","Trait_97","Trait_98","Trait_99","Trait_100","Trait_101","Trait_102","Trait_103","Trait_104","Trait_105","Trait_106","Trait_107","Trait_108","Trait_109","Trait_110","Trait_111","Trait_112","Trait_113","Trait_114","Trait_115","Trait_116","Trait_117","Trait_118","Trait_119","Trait_120","Trait_121","Trait_122","Trait_123","Trait_124","Trait_125","Trait_126","Trait_127","Trait_128","Trait_135","Trait_138","Trait_139","Trait_140","Trait_143","Trait_144","Trait_145","Trait_146","Trait_147","Trait_148","Trait_149","Trait_150","Trait_151","Trait_152","Trait_153","Trait_154","Trait_155","Trait_156","Trait_157","Trait_158","Trait_159","Trait_160","Trait_161","Trait_162","Trait_163","Trait_164","Trait_167","Trait_168","Trait_169","Trait_170","Trait_171","Trait_175"
101612,101.2981,83.07285,105.5068,86.64886,30,1700,124.27,120.69,196.88,171.88,71.88,21.88,46.88,9.38,39375,36875,18125,9375,1875,0.2287125,0.3734377,28,57,113,7,3,0.95,0.9417,7,102.63,108.06,17,115.22,108.32,114.39,127.15,1.58,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,56,1,50,9,67,2,51,9,58,9,60,3,56,5,61,12,6,19,59,17,60,23,59,57,8,60,6,55,7,67,4,57,8,57,3,6,59,0,0,48.7,20,20,1.84,34,1760,5,8,8,8,5,51.3,52.9,49.8,51.2,60,45.6,48.6,50.4,64.5,55.9,48.1,52.3,44.9,49.1,50.6,29,17,37,21,31,4
101915,120.95,113.58,121.63,113.17,35,1582.5,103.25,90.69,190.63,196.88,171.88,96.88,96.88,71.88,38125,38125,36875,38125,34375,0.5366552,0.9234377,28,59,120,0,1,0.9833,1,7,112.66,117.39,17,98.94,89.1,92.27,102.98,1.15,0,1,0,1,0,1,0,1,0,0,0,1,0,3,1,50,1,50,1,50,1,50,3,50,2,50,0,50,2,51,4,2,3,39,4,43,8,15,38,3,51,0,50,0,50,3,53,3,50,2,0,50,1,0,38.6,20,12,1.84,38,1915,7,8,8,7,8,43.9,40.5,60.8,49,53,42.7,42.6,68.4,70.6,71.6,62.4,49.8,47.7,33.5,35.9,33,30,45,8,31,6
102008,128.1398,123.9263,124.8017,123.7913,38,1577.5,137.25,130.65,103.13,78.13,3.13,3.13,3.13,3.13,28125,18125,14375,5625,4375,0.0474625,0.26601583,24,59,116,4,1,0.9833,0.9667,7,89.14,100.43,12,115.5,105.49,95.22,107.44,1.56,2,5,2,1,0,4,1,1,5,5,5,1,1,5,2,50,0,50,6,62,4,59,11,60,5,53,2,51,7,67,12,4,8,48,14,56,27,49,54,4,52,2,50,4,63,0,50,12,64,5,3,51,0,0,50.1,20,10,1.8,35,1840,7,7,8,6,7,50.2,40.9,57.8,52.9,66,44.7,45.5,52.1,62.8,68.1,63.6,55.2,53.7,52.7,54.1,27,27,27,7,36,3
102109,115.1095,106.2624,122.3403,119.7597,32,3085,93.82,71.1,146.88,146.88,146.88,153.13,96.88,78.13,39375,39375,39375,30625,9375,0.5672542,0.7203127,8,0,120,0,60,0,1,180,113.85,121.89,16,110.38,99.78,104.73,118.14,1.32,0,1,0,1,1,2,0,1,0,1,1,1,0,3,7,54,1,50,2,52,6,65,7,56,1,50,2,51,7,67,8,7,10,51,10,52,21,41,51,6,57,3,51,1,52,3,54,4,52,1,2,50,0,0,50.1,20,12,1.8,35,2380,6,8,8,6,7,40.5,40.9,43.4,41.1,58.1,38.1,47.7,55.7,64.5,53.5,56.4,48.5,47.3,42.7,41,37,41,30,19,37,3
102311,110.8,98.26,116.52,112.16,35,1530.25,91.68,68.81,196.88,96.88,3.13,3.13,3.13,3.13,39375,39375,1875,625,625,0.06543125,0.21562521,24,56,115,5,4,0.9333,0.9583,10,113.85,121.89,16,111.75,101.18,102.67,115.84,1.42,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,58,6,65,0,50,4,58,4,50,4,52,1,51,5,61,7,7,16,56,10,53,15,41,51,6,56,5,52,0,50,4,57,1,50,1,1,50,0,0,52.2,20,12,1.8,39,2080,8,8,8,7,8,39.1,48.9,43.4,44.9,44.8,51,48.5,63.8,52.6,51.6,41.7,40.3,58.1,38.5,44.3,31,34,38,18,27,4
102513,124.8705,118.5772,121.2287,112.5362,35,1337.5,60.09,46.07,9.38,15.63,3.13,3.13,3.13,3.13,20625,4375,9375,4375,625,0.019467708,0.14140646,15,60,117,3,0,1,0.975,8,107.32,112.89,14,86.31,72.81,93.46,104.17,1.32,1,5,2,1,0,5,0,2,0,0,5,1,1,5,1,50,4,57,0,50,6,65,8,57,5,53,10,67,5,60,12,10,5,43,20,62,26,51,55,4,52,1,50,0,50,2,51,2,50,1,12,68,0,0,54.3,20,16,1.92,30,4140,6,7,8,3,6,51.8,36.6,57,49.3,54.3,49.9,61.8,51.5,47.9,41.2,50.2,49.8,49.6,56.1,50.4,28,39,27,12,27,1
102614,106.7909,92.45191,112.6225,107.1083,38,1320,152.77,143.56,178.13,146.88,146.88,96.88,128.13,96.88,39375,39375,39375,39375,35625,0.59368646,0.9609377,16,59,116,4,1,0.9833,0.9667,8,108.26,117.39,15,124.64,112.7,112.13,127.12,1.44,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,50,0,50,0,50,2,52,2,50,4,52,3,54,3,53,8,1,3,38,10,52,12,25,45,0,50,3,51,0,50,0,50,3,51,2,4,52,0,0,38.6,20,12,1.8,36,1524.5,7,8,8,8,5,49,51.4,61.6,47.2,53.4,44.8,39.6,68.4,60.1,53.7,55.7,56.4,44.9,49.1,35.9,36,30,42,5,35,5
102715,121.6283,116.2795,124.4154,123.2858,35,1435,126.95,118.18,196.88,196.88,190.63,146.88,46.88,21.88,39375,39375,34375,30625,20625,0.44928542,0.7656252,17,60,118,2,0,1,0.9833,9,108.26,117.39,16,104.59,93.3,98.73,111.27,1.25,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,50,0,50,0,50,1,50,2,50,3,51,1,50,3,53,10,4,1,31,7,48,13,21,42,1,50,2,50,0,50,2,51,4,52,2,1,50,0,0,38.6,20,16,1.84,34,1680,5,8,7,8,6,35.2,48,52.2,32.9,44.8,34.2,28.6,68.4,64.5,48.8,52.7,49.6,44.9,33.5,35.9,36,26,38,6,36,0
102816,100.9,82.73,99.04,75.35,39,1591.5,104.82,93.01,171.88,40.63,21.88,3.13,3.13,3.13,18125,625,3125,1875,625,0.060613543,0.08098979,33,60,115,5,0,1,0.9583,6,112.66,117.39,13,96.95,86.93,103.53,114.2,1.39,0,1,0,1,0,2,0,0,0,0,0,1,0,3,0,50,2,51,1,50,1,50,1,50,0,50,3,56,1,50,2,0,3,39,4,43,4,11,34,1,50,0,50,1,51,0,50,1,50,0,4,54,0,0,52.6,20,16,1.72,37,2403,5,8,8,8,8,55.9,36.6,43.4,51.4,51.8,46.1,46.2,56.8,48.2,58.2,52.7,51.8,50.2,44,46.5,34,27,32,10,31,8
103010,115.394,106.7579,105.4383,93.02147,35,1662.5,105.28,87.33,78.13,21.88,9.38,9.38,3.13,3.13,9375,30625,1875,9375,625,0.041082293,0.22408874,18,59,116,4,1,0.9833,0.9667,10,118.14,126.18,13,85.74,71.24,91.2,103.48,1.09,0,5,1,1,0,2,0,0,1,0,0,1,1,4,3,50,3,54,2,52,6,65,1,50,4,52,6,59,0,50,14,5,8,48,10,52,21,39,51,3,51,3,51,2,57,2,51,2,50,2,5,54,3,0,38.6,20,12,1.84,35,2050,5,7,8,8,7,54.9,54.3,54,53.7,57.4,46.1,55.8,51,50.4,64.7,50.2,40.1,56.6,45.9,46.5,29,33,40,19,28,10
103111,118.7641,110.2203,123.1029,114.8949,34,1600,97.15,81.57,103.13,121.88,121.88,46.88,46.88,46.88,35625,29375,29375,21875,21875,0.3067073,0.63632834,27,59,116,4,1,0.9833,0.9667,8,122.75,126.18,16,103.86,94.84,83.73,95.07,1.48,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5,52,0,50,3,55,2,52,3,51,0,50,0,50,0,50,7,4,8,48,0,30,12,20,42,5,55,5,54,1,52,2,51,3,51,2,0,50,0,0,47.1,20,10,1.8,37,1820,7,7,8,8,7,50.1,36.6,49.8,49.6,44.8,45.8,47.5,62.4,55,62.9,50.2,46.9,37.6,57.3,63.1,34,27,41,8,29,10
103212,127.1703,121.4059,124.138,117.5293,36,2020,100.29,86.51,146.88,96.88,96.88,71.88,46.88,46.88,39375,35625,30625,28125,20625,0.31673333,0.71328145,19,59,115,5,1,0.9833,0.9583,8,127.41,130.38,16,95.94,85.86,96.53,107.05,1.08,3,1,1,5,1,2,0,2,0,0,0,1,0,5,11,61,3,54,5,60,5,62,21,75,6,54,9,65,10,75,22,12,19,61,25,65,48,92,65,8,61,5,54,4,63,4,57,20,80,9,9,62,1,0,49.7,20,16,1.8,35,2110,6,8,7,7,7,44.8,44.6,59.8,52,62.4,44.7,45.4,50.8,60.3,33.6,46.5,57.1,52,45.1,44.3,34,31,21,17,32,5
103414,111.35,99.07,108.83,99.8,37,1388.75,110.41,94.9,196.88,196.88,190.63,96.88,96.88,46.88,39375,34375,34375,34375,34375,0.5180354,0.86601585,43,50,115,5,10,0.8333,0.9583,9,103.57,112.89,16,102.76,91.22,104.7,118.07,1.17,0,5,1,1,0,0,0,0,0,0,0,1,0,1,3,50,0,50,2,51,2,51,3,50,2,50,3,56,1,50,7,3,5,42,6,47,12,23,43,2,50,3,50,1,51,3,53,3,50,2,1,50,1,0,38.6,20,12,1.76,36,2028,7,8,7,8,6,44.2,47.7,43.4,49,50.5,41.7,50.9,50.6,57.1,53.6,50.2,61.3,37.6,46.1,41.9,25,30,31,20,34,9
103515,87.66,67.27,102.58,87.36,26,1568,102.02,82.95,46.88,21.88,21.88,40.63,40.63,15.63,625,625,625,625,625,0.1568375,0.015625209,107,57,106,14,3,0.95,0.8833,9,85.26,96.99,12,106.97,96.09,80.43,92.86,1.54,0,1,0,1,1,0,0,0,0,0,0,0,0,0,6,52,3,55,3,54,2,51,5,51,5,53,1,51,1,50,5,4,12,52,7,48,12,31,47,6,56,3,50,1,51,3,53,6,53,3,3,52,1,0,58.7,20,12,1.88,35,2044,7,8,7,7,6,67.9,70.9,74.2,51.2,60.6,52.9,47.5,58.1,24.2,31.8,25.4,34.5,65.7,65.5,63.7,19,27,32,25,25,11
103818,120.49,112.95,130.89,128.16,37,1459,107,95.98,96.88,96.88,34.38,21.88,46.88,21.88,33125,30625,19375,20625,9375,0.18912917,0.4983075,42,59,117,3,1,0.9833,0.975,8,112.66,117.39,16,101.75,92.26,88.62,99.33,1.18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,56,5,62,0,50,1,50,4,50,0,50,1,51,3,54,8,2,14,54,4,43,13,31,47,4,52,4,51,0,50,6,63,4,51,1,0,50,0,0,38.6,20,16,1.88,37,2013,8,8,8,7,6,49.8,46,43.4,52.9,46.3,49.9,48.3,53.4,43,32.7,44.4,36.6,62.1,41.4,54.1,34,26,34,24,16,5
104012,102.5179,86.4437,107.49,97.16158,35,1690,109.05,92.66,103.13,21.88,21.88,3.13,21.88,9.38,28125,625,625,10625,625,0.08691563,0.16015646,22,52,112,8,8,0.8667,0.9333,6,85.26,96.99,12,100.62,89.05,114.08,130.36,1.71,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,50,0,50,2,51,5,62,2,50,2,50,1,51,4,57,8,6,4,40,7,48,15,26,45,4,52,2,50,1,51,0,50,3,50,2,1,50,0,0,50.1,20,12,1.8,39,1510,7,8,8,8,8,43.8,47.1,49.8,50.7,44.8,45,48.3,42.1,59.7,55.8,48.4,53.6,47.4,45.7,47.5,32,25,39,19,36,4
104113,104.4678,89.0453,104.5637,91.42853,33,1432.5,111.11,96.12,96.88,21.88,103.13,46.88,28.13,3.13,24375,20625,9375,4375,625,0.18366042,0.19648458,36,57,115,5,3,0.95,0.9583,11,80.7,93.9,14,119.39,108.67,86.77,99.02,1.29,1,5,1,1,0,0,0,0,0,0,0,1,0,1,4,51,1,50,0,50,2,52,8,57,2,50,8,64,0,50,13,7,5,43,10,52,23,38,50,2,50,4,52,0,50,0,50,11,63,6,5,54,0,0,38.6,20,25,1.84,33,1900,6,7,7,6,7,47.5,51.5,62,51.2,40.1,55,52.7,48,45.5,42.4,50.2,49.8,49.6,53.9,54.1,26,18,27,18,26,2
104416,128.4841,122.4943,124.514,118.1042,31,2027.5,134.82,133.66,178.13,196.88,146.88,178.13,78.13,46.88,38125,34375,35625,28125,18125,0.5363948,0.71731794,17,60,119,1,0,1,0.9917,8,102.63,108.06,17,115.12,108.23,103.21,114,1.56,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,50,1,50,0,50,1,50,0,50,0,50,0,50,0,50,3,1,1,32,0,30,4,5,29,0,50,0,50,0,50,2,51,0,50,0,0,50,0,0,38.6,20,12,1.92,37,1530,6,8,8,8,7,48.4,38,43.4,51.2,44.8,43.9,35.7,62.4,62.8,61.2,63.2,66.5,37.6,33.5,35.9,35,34,45,9,25,0
104820,103.5371,86.05419,99.55872,76.44249,35,1522.5,117.2,111.48,159.38,96.88,96.88,21.88,46.88,46.88,39375,39375,39375,30625,31875,0.26855624,0.8609377,26,60,119,1,0,1,0.9917,10,107.32,112.89,12,108.94,101.24,96.5,107.02,0.92,0,5,1,1,0,0,0,0,0,0,0,1,0,1,1,50,0,50,2,51,2,51,5,51,2,50,4,58,0,50,1,3,3,39,6,47,8,17,39,0,50,1,50,2,55,0,50,4,51,2,3,52,0,0,38.6,20,16,1.8,35,2310,7,6,8,8,6,57.1,36.6,49.8,44.5,40.1,46.1,47.4,34.3,43,49.1,50.1,66.5,37.6,46.3,35.9,33,19,32,15,39,3
105014,130.17,125.99,115.13,110.52,37,2065,90.22,67.35,146.88,71.88,96.88,21.88,3.13,3.13,34375,34375,9375,19375,19375,0.12975417,0.5121096,22,59,118,2,1,0.9833,0.9833,9,103.57,112.89,16,97.68,86.06,119.41,138.74,1.19,0,1,0,1,0,0,0,0,0,0,0,1,0,1,4,50,1,50,1,50,2,51,3,50,2,50,0,50,1,50,7,2,6,43,3,41,12,21,41,2,50,4,51,1,51,1,50,2,50,2,2,51,0,0,38.6,20,16,1.8,34,1539.5,6,6,8,7,7,42.8,45.4,43.4,51.4,40.1,41.9,42.9,45.9,65.8,63.2,52.7,45.6,50.4,44,44.5,38,23,40,12,33,1
105115,119.17,111.07,121.81,113.4,37,1610.5,103.91,91.59,196.88,184.38,153.13,84.38,59.38,65.63,39375,31875,18125,30625,9375,0.43704584,0.5906252,19,58,116,4,2,0.9667,0.9667,6,122.75,126.18,17,106.14,97.76,95.95,106.5,1.43,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,62,7,66,4,58,6,65,14,64,4,52,5,57,4,56,18,7,23,63,13,55,38,74,61,10,65,5,54,2,57,7,67,16,69,6,3,51,1,0,52.2,20,16,1.76,38,1614.5,7,7,8,8,8,51.8,52.3,57.5,51.2,55.9,55,55.5,46.5,55,40.4,46.5,39.5,56.2,56.7,59.3,32,28,25,23,26,6
105216,125.67,121.59,126.21,126.51,40,1289,125.96,116.84,196.88,109.38,128.13,71.88,28.13,9.38,39375,38125,31875,24375,10625,0.26673332,0.63203144,6,58,116,4,2,0.9667,0.9667,8,113.85,121.89,17,137.11,120.57,93.36,105.8,1.38,1,1,0,1,0,0,0,0,0,0,0,1,0,1,10,60,5,60,5,60,2,52,13,63,5,53,1,50,1,50,9,4,20,61,7,48,24,51,55,9,63,3,51,3,61,7,67,7,57,2,0,50,0,0,50.1,20,12,1.92,39,1560,7,8,8,8,8,54.3,48.4,50.8,58,56.8,55.2,51.6,36.1,51.1,33.6,40.3,37.7,67.3,45.2,52.6,27,30,22,21,18,6
105620,125.504,119.3408,120.2309,111.403,38,1550,121.22,117.3,140.63,96.88,71.88,46.88,46.88,46.88,36875,31875,29375,29375,24375,0.27519688,0.72682315,19,58,115,5,2,0.9667,0.9583,9,117.24,121.89,16,115.04,108.08,114.39,127.15,1.78,0,1,0,1,0,0,0,0,0,0,0,1,0,4,7,53,2,51,2,51,3,55,5,51,2,50,3,56,5,61,13,4,11,51,10,53,21,42,51,7,58,3,50,1,51,4,57,2,50,1,4,54,1,0,38.6,20,16,1.8,38,1520,7,7,8,8,8,46.2,60.8,52.5,44.3,44.8,41.7,55,56.2,57.1,43.9,50.2,46,63.8,57,55.5,29,30,38,26,23,4
105923,129.6218,123.7607,114.8966,103.9747,40,1607.5,76.8,53.53,196.88,196.88,146.88,71.88,46.88,21.88,39375,39375,20625,19375,4375,0.34694168,0.4968752,9,60,118,2,0,1,0.9833,7,112.66,117.39,16,112.7,105.48,96.5,107.02,1.37,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,50,0,50,1,50,1,50,8,57,4,52,1,51,4,57,7,3,3,39,9,52,16,28,45,3,51,1,50,1,51,1,50,8,57,4,4,54,0,0,38.6,20,12,1.88,38,1810,8,7,8,8,7,41.9,49.3,57.9,49.6,51,39.1,47.1,47.4,54.4,48.1,52.4,50.6,52,52,54.1,29,30,30,11,32,2
106016,117.37,108.15,115.38,104.75,35,1570.75,116.45,110.4,196.88,146.88,153.13,96.88,90.63,53.13,36875,39375,31875,31875,19375,0.4800146,0.7533856,13,59,118,2,1,0.9833,0.9833,9,102.63,108.06,17,113.61,106.4,109.13,120.76,1.24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,50,1,50,1,50,0,50,0,50,1,50,0,50,2,51,2,0,3,39,3,41,2,8,32,2,50,1,50,0,50,2,51,0,50,0,0,50,0,0,54.3,20,12,1.76,34,1840,6,7,8,8,5,46,51.4,56,49.6,40.1,48.1,46.2,49,57.7,51.9,50.2,43.9,54.9,56.3,54.1,33,24,34,12,27,3
106218,108.0312,92.2253,101.3621,79.46663,33,1980,101.6,88.33,153.13,153.13,21.88,40.63,3.13,3.13,39375,19375,35625,1875,4375,0.12116042,0.3562502,24,59,120,0,1,0.9833,1,11,97.6,104.06,14,98.59,88.79,114.39,127.15,1.19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,0,0,30,0,30,0,0,25,0,50,0,50,0,50,0,50,0,50,0,0,50,0,0,60.5,20,20,1.92,29,2020,7,0,8,7,7,28.6,36.6,43.4,32.9,59.2,34.2,36.9,68.4,60.1,66.5,58.6,57.8,37.6,33.5,35.9,28,24,47,12,33,3
